代碼,id,種類,食物名稱,熱量 (kcal),水分 (g),粗蛋白 (g),粗脂肪 (g),碳水化合物 (g),粗纖維(g),膳食纖維(g),灰分(g),膽固醇(mg),維生素A效力(RE),維生素E效力(αTE),維生素 B1(mg),維生素B2(mg),菸鹼素 (mg),維生素B6(mg),維生素B12(μg),維生素C (mg),鈉 (mg),鉀 (mg),鎂 (mg),磷 (mg),鐵(mg),鋅 (mg),鈣(mg)
D019400,197,水果,加州葡萄,62,83.2,0.4,0.7,15.3,0.3,0.5,0.4,,6.3,,0.01,0.01,0.2,0.03,,5,11,130,6,23,0.3,0,4
D020400,198,水果,白葡萄,46,87,0.6,0.2,11.8,0.1,0.5,0.4,,183.3,,0.03,0.01,0.1,0.04,,5,13,130,4,23,0.1,0.2,3
D021400,199,水果,葡萄,57,84,0.7,0.2,14.7,0.3,0.6,0.4,,0,,0.04,0,0.3,0.02,,4,7,120,5,16,0.2,0.1,4
D021501,200,水果,葡萄乾,303,14.5,3.2,0.9,79.3,1.7,5.9,2.2,,0,,0.07,0.04,1.18,0.03,,0.7,14,710,33,117,1.5,0.5,55
D021502,201,水果,葡萄汁,43,87.9,0.1,0,11.9,0.1,0,0.1,,0,,0.01,0,0.09,0.01,,0,25,50,2,11,0.1,0,4
D021503,202,水果,葡萄果醬,235,37,0,1.9,60.9,0.2,1.5,0.2,,0,,0,0.03,0.52,0,,0,52,12,3,35,0.6,0.1,6
D022400,203,水果,水梨,40,88.8,0.4,0.3,10.1,0.7,1.6,0.4,,0,,0.01,0.01,0.3,0,,5,12,110,5,11,0.2,0.2,3
D023400,204,水果,西洋梨,60,83.5,0.3,0.3,15.6,0.8,3,0.3,,5.3,,0,0.01,0.4,,,8,36,120,6,13,0.1,0.1,11
D024400,205,水果,粗梨,50,86,0.4,0.1,13.2,0.7,1.8,0.3,,0,,0.02,0.1,0.3,0.01,,3,9,120,6,12,0.1,0.1,2
D025400,206,水果,酪梨,58,84,1.1,0.7,13.5,2.6,2.5,0.7,,64.2,,0.01,0.02,1.3,0.07,,12,4,190,15,27,0.4,0.3,8
D026400,207,水果,小玉,32,91,0.9,0.1,7.7,0.1,0.4,0.3,,0.3,,0.02,0.02,0.1,0.03,,8,4,60,13,10,0.3,0.2,6
D027400,208,水果,西瓜,25,93,0.6,0.1,6,0.1,0.3,0.3,,126.7,,0.02,0.01,0.2,0.04,,8,13,100,13,23,0.3,0.1,4
D028400,209,水果,狀元瓜,28,91.6,0.8,0.1,6.9,0.2,0.6,0.6,,30,,0,0,0.3,0.02,,17,26,250,11,10,0.2,0.2,8
D029400,210,水果,香瓜,30,91,0.6,0.2,7.5,0.3,0.6,0.7,,20,,0.01,0.04,0.5,0.05,,18,16,240,7,16,0.2,0.2,7
D030400,211,水果,美濃瓜,38,89,1.3,0.3,8.6,0.2,0.4,0.8,,6.7,,0.02,0.01,0.5,0.06,,14,12,320,10,17,0.2,0.2,7
D031400,212,水果,哈蜜瓜,31,91,0.7,0.2,7.6,0.4,0.8,0.6,,118.3,,0.03,0.01,0.3,0.03,,20,23,200,13,14,0.2,0.3,14
